"","tank","week","Mb","mba","mba1","pp.N","AvgS","CMb","Cmba","Cmba1","C.N","CAvgS","OMb","Omba","Omba1","O.N","OAvgS","CNMb","CNmba","CNmba1","CN.N","CN.AvgS","FNMb","FNmba","FNmba1","FN.N","FN.AvgS"
"68",14,2,47221.7044056542,85.7263785576976,28.6661522671143,124,380.820196819792,36445.6939917766,91.5063377921087,19.873942567179,88,414.155613542916,10776.0104138776,71.597589318026,8.79220969993533,36,299.333622607711,NA,NA,NA,NA,NA,47221.7044056542,85.7263785576976,28.6661522671143,124,380.820196819792
"69",14,6,36331.531466505,42.1346457684615,65.0375710190243,215,168.98386728607,10269.4977794211,200.679523332646,1.40368007895596,7,1467.07111134587,26062.0336870839,36.799000850436,63.6338909400683,208,125.298238880211,NA,NA,NA,NA,NA,36331.531466505,42.1346457684615,65.0375710190243,215,168.98386728607
"70",14,7,21869.978515481,65.1562212065148,19.1759444924292,64,341.718414304391,3263.75421147787,57.0625193173563,4.98404808821069,13,251.058016267529,18606.2243040032,67.2193216880651,14.1918964042185,51,364.827927529474,9050.54483769071,927.910401907362,0.102525363781759,1,9050.54483769071,21869.978515481,65.1562212065148,19.1759444924292,64,341.718414304391
"71",15,0,37316.9430592477,269.775224996749,4.16697079338664,15,2487.79620394985,NA,NA,NA,NA,NA,37316.9430592477,269.775224996749,4.16697079338664,15,2487.79620394985,36202.1793507628,927.910401907362,0.410101455127036,4,9050.54483769071,37316.9430592477,269.775224996749,4.16697079338664,15,2487.79620394985
"72",15,1,53163.4773505138,248.51295723034,6.06846350127857,23,2311.45553697886,NA,NA,NA,NA,NA,53163.4773505138,248.51295723034,6.06846350127857,23,2311.45553697886,27151.6345130721,927.910401907362,0.307576091345277,3,9050.54483769071,53163.4773505138,248.51295723034,6.06846350127857,23,2311.45553697886
"73",15,2,85812.3879646901,111.693062766027,31.953072552881,146,587.756081949932,33506.5123175694,90.8838108531336,18.2383274745081,82,408.616003872797,52305.8756471207,138.354916779422,13.7147450783729,64,817.279306986261,38466.0157456517,292.335939534676,2.93356976035434,19,2024.52714450798,85812.3879646901,111.693062766027,31.953072552881,146,587.756081949932
"74",15,6,127889.60348368,102.869923373101,180.047686950101,202,633.116848929109,3286.27253716435,6.73403333330131,164.521926231831,112,29.3417190818245,124603.330946516,222.505697644852,15.52576071827,90,1384.48145496128,119296.076460064,257.026247180638,11.4814578305444,73,1634.19282822005,127889.60348368,102.869923373101,180.047686950101,202,633.116848929109
"75",15,7,53228.3038298635,181.781219121782,13.4369553716017,36,1478.56399527399,1635.1311118828,45.5723921886085,7.14900440364116,8,204.39138898535,51593.1727179807,220.698026816974,6.2879509679605,28,1842.61331135645,45559.9806920677,785.490023019155,0.751476534748453,6,7593.33011534461,53228.3038298635,181.781219121782,13.4369553716017,36,1478.56399527399
"76",16,0,13512.8023320649,91.4139740770434,6.74344996521921,21,643.466777717376,26.3476411243065,6.91486662493247,1.04978910139372,2,13.1738205621533,13486.4546909406,100.308616966739,5.69366086382549,19,709.813404786347,11477.4351991867,445.566599243717,0.444768963417866,3,3825.81173306224,13512.8023320649,91.4139740770434,6.74344996521921,21,643.466777717376
"77",16,1,62502.6613999557,248.005504605766,9.37098065367144,26,2403.94851538291,1234.03017607574,25.1083173893593,5.98267134648668,11,112.184561461431,61268.63122388,411.463441897797,3.38830930718475,15,4084.57541492533,NA,NA,NA,NA,NA,62502.6613999557,248.005504605766,9.37098065367144,26,2403.94851538291
"78",16,2,43875.6857540597,86.4560351613966,30.8407707905084,109,402.529227101465,24721.838149541,83.2756764414168,20.6350241814929,66,374.573305296075,19153.8476045187,91.3375159874121,10.2057466090156,43,445.438316384157,8170.96414110027,257.026247180638,0.786401221270162,5,1634.19282822005,43875.6857540597,86.4560351613966,30.8407707905084,109,402.529227101465
"79",16,6,75684.8101656002,75.3719945927464,57.270821009819,235,322.063021981277,1759.60432468786,89.4473764703436,2.17445092579221,4,439.901081171966,73925.2058409123,75.1282650364244,55.0963700840268,231,320.022536107846,3268.38565644011,257.026247180638,0.314560488508065,2,1634.19282822005,75684.8101656002,75.3719945927464,57.270821009819,235,322.063021981277
"80",16,7,68990.0168701704,110.26728409977,25.1461001717171,94,733.936349682663,4913.66093058479,68.6698925742125,5.82907514583682,16,307.103808161549,64076.3559395856,118.800082361422,19.3170250258802,78,821.4917428152,45252.7241884535,927.910401907362,0.512626818908796,5,9050.54483769071,68990.0168701704,110.26728409977,25.1461001717171,94,733.936349682663
"81",17,0,1434.07231673756,25.2046387464349,7.57501602446824,16,89.6295197960975,626.565111866812,23.612596866548,4.0569964020483,6,104.427518644469,807.507204870748,26.159863874367,3.51801962241995,10,80.7507204870747,NA,NA,NA,NA,NA,1434.07231673756,25.2046387464349,7.57501602446824,16,89.6295197960975
